INFO:     Started server process [22377]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://0.0.0.0:9000 (Press CTRL+C to quit)
/home/vedanth/Projects/Rambharose054/simulation/simulation_controller.py:20: DeprecationWarning: Callback API version 1 is deprecated, update to latest version
  client = mqtt.Client()
INFO:     172.18.0.4:34740 - "POST /simulation/start HTTP/1.1" 200 OK
INFO:     172.18.0.4:34312 - "POST /simulation/stop HTTP/1.1" 200 OK
INFO:     172.18.0.4:57296 - "POST /simulation/start HTTP/1.1" 200 OK
/usr/lib64/python3.14/site-packages/numpy/_core/getlimits.py:552: UserWarning: Signature b'\x00\xd0\xcc\xcc\xcc\xcc\xcc\xcc\xfb\xbf\xf2\x02\x00\x00\x00\x00' for <class 'numpy.longdouble'> does not match any known type: falling back to type probe function.
This warnings indicates broken support for the dtype!
  machar = _get_machar(dtype)
Connected to MQTT telemetry.
MESA-LOADER: failed to open dri: /usr/local/MATLAB/R2026a/bin/glnxa64/../../sys/os/glnxa64/libstdc++.so.6: version `GLIBCXX_3.4.32' not found (required by /lib64/libSPIRV-Tools.so) (search paths /usr/lib64/gbm, suffix _gbm)

========================================
LIVE SIMULATION STARTED
========================================
Fault commands: MQTT
Fault topic: engine/engine_001/fault
Allowed fault IDs: 0, 1, 2, 3, 4
========================================

t=   1s | fault=0 | RPM= 1488.4 | Torque= 6.34 | CHT=   3.6 | EGT=   74.1
t= 135s | fault=0 | RPM= 3993.9 | Torque= 9.57 | CHT= 168.3 | EGT=  708.8
t= 136s | fault=0 | RPM= 3993.7 | Torque= 8.98 | CHT= 166.2 | EGT=  708.0
t= 137s | fault=0 | RPM= 3993.7 | Torque= 9.06 | CHT= 164.6 | EGT=  708.1
Warning: /usr/local/MATLAB/R2026a/bin/glnxa64/../../sys/os/glnxa64/libstdc++.so.6: version `GLIBCXX_3.4.32' not found (required by /lib64/libSPIRV-Tools.so)
Warning: loader_icd_scan: Failed loading library associated with ICD JSON /usr/lib64/libvulkan_asahi.so. Ignoring this JSON
Warning: /usr/local/MATLAB/R2026a/bin/glnxa64/../../sys/os/glnxa64/libstdc++.so.6: version `GLIBCXX_3.4.32' not found (required by /lib64/libSPIRV-Tools.so)
Warning: loader_icd_scan: Failed loading library associated with ICD JSON /usr/lib64/libvulkan_broadcom.so. Ignoring this JSON
Warning: /usr/local/MATLAB/R2026a/bin/glnxa64/../../sys/os/glnxa64/libstdc++.so.6: version `GLIBCXX_3.4.32' not found (required by /lib64/libSPIRV-Tools.so)
Warning: loader_icd_scan: Failed loading library associated with ICD JSON /usr/lib64/libvulkan_dzn.so. Ignoring this JSON
Warning: /usr/local/MATLAB/R2026a/bin/glnxa64/../../sys/os/glnxa64/libstdc++.so.6: version `GLIBCXX_3.4.32' not found (required by /lib64/libSPIRV-Tools.so)
Warning: loader_icd_scan: Failed loading library associated with ICD JSON /usr/lib64/libvulkan_freedreno.so. Ignoring this JSON
Warning: /usr/local/MATLAB/R2026a/bin/glnxa64/../../sys/os/glnxa64/libstdc++.so.6: version `GLIBCXX_3.4.32' not found (required by /lib64/libSPIRV-Tools.so)
Warning: loader_icd_scan: Failed loading library associated with ICD JSON /usr/lib64/libvulkan_intel_hasvk.so. Ignoring this JSON
Warning: /usr/local/MATLAB/R2026a/bin/glnxa64/../../sys/os/glnxa64/libstdc++.so.6: version `GLIBCXX_3.4.32' not found (required by /lib64/libSPIRV-Tools.so)
Warning: loader_icd_scan: Failed loading library associated with ICD JSON /usr/lib64/libvulkan_intel.so. Ignoring this JSON
Warning: /usr/local/MATLAB/R2026a/bin/glnxa64/../../sys/os/glnxa64/libstdc++.so.6: version `GLIBCXX_3.4.32' not found (required by /lib64/libSPIRV-Tools.so)
Warning: loader_icd_scan: Failed loading library associated with ICD JSON /usr/lib64/libvulkan_lvp.so. Ignoring this JSON
Warning: /usr/local/MATLAB/R2026a/bin/glnxa64/../../sys/os/glnxa64/libstdc++.so.6: version `GLIBCXX_3.4.32' not found (required by /lib64/libSPIRV-Tools.so)
Warning: loader_icd_scan: Failed loading library associated with ICD JSON /usr/lib64/libvulkan_nouveau.so. Ignoring this JSON
Warning: /usr/local/MATLAB/R2026a/bin/glnxa64/../../sys/os/glnxa64/libstdc++.so.6: version `GLIBCXX_3.4.32' not found (required by /lib64/libSPIRV-Tools.so)
Warning: loader_icd_scan: Failed loading library associated with ICD JSON /usr/lib64/libvulkan_panfrost.so. Ignoring this JSON
Warning: /usr/local/MATLAB/R2026a/bin/glnxa64/../../sys/os/glnxa64/libstdc++.so.6: version `GLIBCXX_3.4.32' not found (required by /lib64/libSPIRV-Tools.so)
Warning: loader_icd_scan: Failed loading library associated with ICD JSON /usr/lib64/libvulkan_powervr_mesa.so. Ignoring this JSON
Warning: /usr/local/MATLAB/R2026a/bin/glnxa64/../../sys/os/glnxa64/libstdc++.so.6: version `GLIBCXX_3.4.32' not found (required by /lib64/libSPIRV-Tools.so)
Warning: loader_icd_scan: Failed loading library associated with ICD JSON /usr/lib64/libvulkan_radeon.so. Ignoring this JSON
Error: Loader Message: setup_loader_term_phys_devs:  Failed to detect any valid GPUs in the current config
Warning: vkEnumeratePhysicalDevices
    at GatherPhysicalDevices (../../third_party/dawn/src/dawn/native/vulkan/VulkanInfo.cpp:148)

t= 138s | fault=0 | RPM= 3993.8 | Torque= 9.37 | CHT= 161.7 | EGT=  708.6
t= 139s | fault=0 | RPM= 3994.4 | Torque=10.00 | CHT= 159.7 | EGT=  711.0
t= 140s | fault=0 | RPM= 3993.9 | Torque= 9.52 | CHT= 156.9 | EGT=  708.8
t= 141s | fault=0 | RPM= 3993.6 | Torque= 8.59 | CHT= 155.0 | EGT=  707.5
t= 142s | fault=0 | RPM= 3994.3 | Torque=10.00 | CHT= 153.7 | EGT=  710.8
t= 143s | fault=0 | RPM= 3994.0 | Torque= 9.99 | CHT= 151.8 | EGT=  709.4
t= 144s | fault=0 | RPM= 3994.1 | Torque=10.00 | CHT= 150.8 | EGT=  709.9
t= 145s | fault=0 | RPM= 3993.3 | Torque= 7.83 | CHT= 147.2 | EGT=  706.4
t= 146s | fault=0 | RPM= 3994.2 | Torque=10.00 | CHT= 146.3 | EGT=  710.4
t= 147s | fault=0 | RPM= 3994.0 | Torque= 9.86 | CHT= 143.1 | EGT=  709.2
t= 148s | fault=0 | RPM= 3994.2 | Torque=10.00 | CHT= 141.8 | EGT=  710.5
t= 149s | fault=0 | RPM= 3994.0 | Torque= 9.97 | CHT= 140.4 | EGT=  709.4
t= 150s | fault=0 | RPM= 3993.8 | Torque= 9.48 | CHT= 138.8 | EGT=  708.7
t= 151s | fault=0 | RPM= 3993.8 | Torque= 9.20 | CHT= 137.1 | EGT=  708.3
t= 152s | fault=0 | RPM= 3993.8 | Torque= 9.39 | CHT= 136.3 | EGT=  708.6
t= 153s | fault=0 | RPM= 3994.0 | Torque= 9.89 | CHT= 134.7 | EGT=  709.3
t= 154s | fault=0 | RPM= 3993.9 | Torque= 9.73 | CHT= 133.5 | EGT=  709.0
t= 155s | fault=0 | RPM= 3994.0 | Torque= 9.88 | CHT= 131.2 | EGT=  709.3
t= 156s | fault=0 | RPM= 3993.7 | Torque= 8.94 | CHT= 131.4 | EGT=  707.9
t= 157s | fault=0 | RPM= 3994.3 | Torque=10.00 | CHT= 129.5 | EGT=  710.8
t= 158s | fault=0 | RPM= 3993.5 | Torque= 8.49 | CHT= 127.0 | EGT=  707.3
t= 159s | fault=0 | RPM= 3993.7 | Torque= 8.92 | CHT= 126.8 | EGT=  707.9
t= 160s | fault=0 | RPM= 3994.4 | Torque=10.00 | CHT= 126.3 | EGT=  711.0
t= 161s | fault=0 | RPM= 3993.7 | Torque= 9.14 | CHT= 124.1 | EGT=  708.2
t= 162s | fault=0 | RPM= 3993.8 | Torque= 9.45 | CHT= 123.2 | EGT=  708.6
t= 163s | fault=0 | RPM= 3993.9 | Torque= 9.83 | CHT= 121.4 | EGT=  709.2
t= 164s | fault=0 | RPM= 3993.7 | Torque= 9.08 | CHT= 120.6 | EGT=  708.1
t= 165s | fault=0 | RPM= 3994.1 | Torque=10.00 | CHT= 120.5 | EGT=  710.0
t= 166s | fault=0 | RPM= 3994.4 | Torque=10.00 | CHT= 117.6 | EGT=  711.2
t= 167s | fault=0 | RPM= 3993.8 | Torque= 9.43 | CHT= 117.4 | EGT=  708.6
t= 168s | fault=0 | RPM= 3993.5 | Torque= 8.48 | CHT= 116.3 | EGT=  707.3
t= 169s | fault=0 | RPM= 3994.1 | Torque=10.00 | CHT= 115.2 | EGT=  709.7
t= 170s | fault=0 | RPM= 3993.9 | Torque= 9.68 | CHT= 114.2 | EGT=  709.0
t= 171s | fault=0 | RPM= 3993.7 | Torque= 8.95 | CHT= 114.2 | EGT=  707.9
t= 172s | fault=0 | RPM= 3993.9 | Torque= 9.59 | CHT= 112.8 | EGT=  708.8
t= 173s | fault=0 | RPM= 3993.9 | Torque= 9.63 | CHT= 112.8 | EGT=  708.9
t= 174s | fault=0 | RPM= 3994.5 | Torque=10.00 | CHT= 111.2 | EGT=  711.4
t= 175s | fault=0 | RPM= 3994.1 | Torque=10.00 | CHT= 110.8 | EGT=  709.8
t= 176s | fault=0 | RPM= 3994.6 | Torque=10.00 | CHT= 109.1 | EGT=  711.9
t= 177s | fault=0 | RPM= 3993.8 | Torque= 9.26 | CHT= 108.0 | EGT=  708.3
t= 178s | fault=0 | RPM= 3993.8 | Torque= 9.37 | CHT= 108.5 | EGT=  708.5
t= 179s | fault=0 | RPM= 3993.7 | Torque= 9.08 | CHT= 107.4 | EGT=  708.1
t= 180s | fault=0 | RPM= 3994.0 | Torque= 9.91 | CHT= 106.9 | EGT=  709.3
t= 181s | fault=0 | RPM= 3993.9 | Torque= 9.60 | CHT= 106.6 | EGT=  708.8
t= 182s | fault=0 | RPM= 3993.2 | Torque= 7.47 | CHT= 105.5 | EGT=  705.8
t= 183s | fault=0 | RPM= 3994.0 | Torque=10.00 | CHT= 104.6 | EGT=  709.6
t= 184s | fault=0 | RPM= 3993.6 | Torque= 8.87 | CHT= 105.0 | EGT=  707.8
t= 185s | fault=0 | RPM= 3993.4 | Torque= 8.07 | CHT= 102.8 | EGT=  706.7
t= 186s | fault=0 | RPM= 3993.7 | Torque= 8.94 | CHT= 101.4 | EGT=  707.9
t= 187s | fault=0 | RPM= 3993.4 | Torque= 8.08 | CHT= 101.0 | EGT=  706.7
t= 188s | fault=0 | RPM= 3993.9 | Torque= 9.81 | CHT= 101.2 | EGT=  709.1
t= 189s | fault=0 | RPM= 3994.0 | Torque=10.00 | CHT= 100.3 | EGT=  709.5
t= 190s | fault=0 | RPM= 3994.2 | Torque=10.00 | CHT= 100.1 | EGT=  710.5
t= 191s | fault=0 | RPM= 3993.2 | Torque= 7.63 | CHT=  99.2 | EGT=  706.0
t= 192s | fault=0 | RPM= 3994.0 | Torque= 9.93 | CHT=  99.7 | EGT=  709.3
t= 193s | fault=0 | RPM= 3994.2 | Torque=10.00 | CHT=  97.3 | EGT=  710.3
t= 194s | fault=0 | RPM= 3994.1 | Torque=10.00 | CHT=  97.6 | EGT=  709.7
t= 195s | fault=0 | RPM= 3993.9 | Torque= 9.81 | CHT=  96.8 | EGT=  709.1
t= 196s | fault=0 | RPM= 3993.6 | Torque= 8.81 | CHT=  96.2 | EGT=  707.7
t= 197s | fault=0 | RPM= 3993.2 | Torque= 7.47 | CHT=  96.9 | EGT=  705.8
t= 198s | fault=0 | RPM= 3994.4 | Torque=10.00 | CHT=  97.0 | EGT=  711.3
t= 199s | fault=0 | RPM= 3994.0 | Torque= 9.96 | CHT=  96.6 | EGT=  709.3
t= 200s | fault=0 | RPM= 3993.9 | Torque= 9.62 | CHT=  95.3 | EGT=  708.8
t= 201s | fault=0 | RPM= 3994.2 | Torque=10.00 | CHT=  94.5 | EGT=  710.1
t= 202s | fault=0 | RPM= 3993.6 | Torque= 8.66 | CHT=  92.5 | EGT=  707.5
INFO:     172.18.0.4:34726 - "POST /simulation/stop HTTP/1.1" 200 OK
{Error using client>publish (line 1709)
Python Error: KeyboardInterrupt
} 
INFO:     172.18.0.4:35632 - "POST /simulation/start HTTP/1.1" 200 OK
/usr/lib64/python3.14/site-packages/numpy/_core/getlimits.py:552: UserWarning: Signature b'\x00\xd0\xcc\xcc\xcc\xcc\xcc\xcc\xfb\xbf\xd2V\x00\x00\x00\x00' for <class 'numpy.longdouble'> does not match any known type: falling back to type probe function.
This warnings indicates broken support for the dtype!
  machar = _get_machar(dtype)
Connected to MQTT telemetry.
